Designator,Mid X,Mid Y,Rotation,Layer
R9,43.0,-79.7,270.0,top
SW1,37.4,-5.1,270.0,top
SW2,10.6,-11.4,0.0,top
SW3,51.8,-12.4,180.0,top
SW4,51.8,-15.9,180.0,top
U1,30.0,-27.3,270.0,top
U12,17.0,-77.0,90.0,top
U13,19.0,-17.8,180.0,top
U14,30.0,-27.3,90.0,bottom
U15,30.0,-12.7,0.0,top
U2,37.5,-55.55,90.0,top
U3,15.014,-42.3996,270.0,top
U4,47.1,-87.5,270.0,bottom
U5,45.4,-77.0,90.0,top
U6,32.9,-87.5,270.0,bottom
U7,18.7,-87.5,270.0,bottom
U8,31.2,-77.0,90.0,top
X1,16.8,-24.915,270.0,top
