GPIOs,,,,,Assigned Interrupt
PA0,PB0,PC0,PD0,PE0,IMU_INT1
PA1,PB1,PC1,PD1,PE1,OCP_W_N
PA2,PB2,PC2,PD2,PE2,
PA3,PB3,PC3,PD3,PE3,OCP_U_P
PA4,PB4,PC4,PD4,PE4,
PA5,PB5,PC5,PD5,PE5,OCP_U_N
PA6,PB6,PC6,PD6,PE6,OCP_V_P
PA7,PB7,PC7,PD7,PE7,IMU_INT_2
PA8,PB8,PC8,PD8,PE8,OCP_V_N
PA9,PB9,PC9,PD9,PE9,USR_BTN2
PA10,PB10,PC10,PD10,PE10,USR_BTN1
PA11,PB11,PC11,PD11,PE11,OCP_W_P
PA12,PB12,PC12,PD12,PE12,
PA13,PB13,PC13,PD13,PE13,HALL1
PA14,PB14,PC14,PD14,PE14,HALL2
PA15,PB15,PC15,PD15,PE15,HALL3
